distance_km,hour_of_day,day_of_week,is_raining,travel_time_minutes,road_qualities,congestion_levels,type_of_road,checkpoints
26.96,22,1,0,62.43,0,3,0,2
15.84,20,3,0,37.41,1,5,0,2
16.43,11,6,0,37.44,1,2,0,4
4.11,21,4,0,14.31,2,3,0,4
13.97,22,1,0,31.18,1,4,0,3
16.45,8,2,1,61.6,1,4,0,2
8.03,15,6,1,18.65,2,4,0,0
8.81,10,4,1,39.16,1,4,0,2
11.94,19,4,0,39.49,2,5,0,3
1.58,18,5,0,7.64,2,5,0,2
10.34,11,3,0,20.13,1,2,0,1
7.13,17,4,0,25.32,2,4,0,2
10.5,13,3,0,20.47,2,5,0,0
4.47,10,1,0,20.8,2,3,0,3
26.83,20,2,1,82.62,1,5,0,3
18.21,21,6,0,33.4,2,5,0,0
20.69,6,6,0,47.99,0,2,0,3
23.89,21,2,0,52.07,2,5,0,2
15.45,10,4,0,49.53,1,3,0,3
3.52,8,4,0,15.94,1,4,0,2
16.58,20,1,0,28.07,0,1,1,3
18.02,18,5,0,38.0,1,2,0,2
22.62,21,5,0,48.24,1,3,0,2
13.52,16,5,1,31.62,1,2,0,0
4.7,7,3,0,9.03,1,4,0,0
9.23,11,5,0,28.81,1,5,0,4
11.53,11,2,0,26.38,1,5,0,0
19.73,19,6,1,56.41,1,3,0,2
17.55,16,6,0,34.76,2,4,0,2
11.33,13,3,0,21.39,1,1,0,3
29.61,13,1,0,62.34,0,1,0,3
18.57,6,2,1,66.44,1,5,0,4
7.88,12,6,0,18.23,2,4,0,2
3.95,11,2,0,17.47,0,4,0,4
5.43,13,6,0,14.48,1,3,0,2
8.13,13,0,0,8.62,1,1,1,0
5.66,19,1,0,23.35,2,3,0,3
6.41,21,1,0,17.54,1,2,0,4
9.27,14,0,0,17.29,2,4,0,1
6.03,20,3,1,15.73,1,1,0,2
27.01,15,6,0,48.48,2,3,0,0
3.33,21,6,1,11.8,1,5,0,1
16.21,9,6,0,31.26,1,2,0,0
12.9,18,5,0,26.43,1,3,0,0
29.49,10,5,0,73.34,2,5,0,2
4.25,12,5,0,7.52,0,1,0,0
12.54,14,5,0,22.07,1,1,1,4
29.11,13,5,0,43.82,2,2,0,1
26.1,21,0,0,42.91,1,5,1,0
24.7,11,1,0,52.76,1,4,0,0
8.48,21,3,0,19.91,1,1,0,3
5.96,11,2,0,16.47,1,4,0,3
20.39,19,5,0,52.57,1,4,0,4
27.95,6,0,1,56.74,2,3,1,3
17.15,14,6,0,35.62,0,3,0,0
17.58,18,3,0,45.67,2,1,0,0
9.12,22,3,1,23.88,1,4,1,1
23.32,16,3,1,56.17,1,3,1,3
6.42,13,0,0,18.81,1,5,0,2
10.39,10,2,0,47.25,1,5,0,3
13.34,15,5,0,33.19,0,5,0,0
15.72,12,3,0,33.38,2,5,0,1
8.03,15,0,0,16.43,2,4,1,3
4.33,9,6,0,11.8,1,5,0,1
18.71,14,1,0,43.81,1,4,0,3
9.37,19,6,0,19.43,1,1,1,4
17.86,7,0,0,23.66,2,1,0,0
5.48,14,0,0,9.09,1,5,1,0
14.95,6,0,0,35.26,2,5,0,2
16.45,15,3,0,31.41,1,5,0,0
2.5,15,0,0,7.56,2,1,0,2
10.76,8,1,0,32.91,1,3,0,0
4.9,11,3,0,13.69,1,1,0,3
2.84,11,6,0,11.53,2,5,0,3
29.71,7,1,0,56.83,2,3,0,4
10.35,7,4,0,24.56,1,3,0,3
24.49,17,6,0,57.59,1,2,0,1
8.38,10,0,0,39.05,1,4,0,3
20.76,12,5,0,43.57,1,5,0,2
23.05,21,5,0,52.05,1,4,0,4
18.27,6,3,0,34.53,1,2,0,1
14.68,6,5,0,29.76,2,4,0,1
12.94,22,6,0,26.95,1,5,0,0
11.12,6,3,1,32.77,0,2,0,2
27.96,18,6,0,70.16,1,4,0,3
25.09,14,0,0,51.82,0,1,0,3
28.99,20,2,1,81.35,1,3,0,0
4.6,8,2,1,22.43,1,2,0,3
22.2,19,1,0,67.2,1,1,0,1
28.21,16,0,0,65.9,2,5,0,3
6.26,17,5,0,17.24,2,3,0,3
2.93,18,0,0,11.26,0,2,0,1
22.49,18,4,0,65.44,1,3,0,2
17.66,6,2,0,30.7,2,2,0,2
25.41,15,5,0,42.65,1,2,0,1
5.05,8,6,0,12.68,2,4,0,1
24.06,9,6,0,43.54,2,3,1,4
6.85,21,2,1,26.28,1,3,0,4
5.75,13,0,0,12.29,1,1,1,3
5.76,21,5,0,16.85,2,5,0,3
24.62,22,1,0,41.65,2,1,0,4
20.29,20,6,0,44.18,2,4,0,3
16.17,21,0,0,29.59,1,2,0,2
11.41,20,1,1,33.6,2,4,0,2
26.44,7,5,1,71.54,1,4,0,0
12.38,16,2,0,25.89,1,1,0,4
24.68,6,4,0,34.89,1,2,1,2
13.73,20,3,0,27.06,2,5,0,0
11.93,9,2,0,36.63,2,4,0,1
14.42,16,1,0,27.29,2,5,1,2
9.74,10,0,0,23.55,1,2,1,0
22.68,8,6,0,51.88,1,2,0,3
15.58,18,5,0,14.96,2,1,1,0
7.73,15,2,0,16.84,1,3,0,2
27.09,16,6,1,65.81,2,1,0,3
12.13,7,6,0,31.96,1,5,0,3
16.76,12,4,0,24.18,2,1,0,0
27.29,14,5,0,37.25,2,2,0,0
19.1,15,1,0,40.41,1,4,0,2
4.39,12,5,0,15.48,0,3,0,3
28.26,12,5,0,53.73,1,2,0,4
19.2,8,0,0,51.11,2,4,0,0
10.71,17,3,0,39.57,1,5,0,4
5.04,12,6,0,17.18,2,5,0,4
24.03,22,1,0,53.61,1,5,0,3
18.98,6,0,1,40.11,2,1,0,2
16.47,10,6,1,63.01,1,5,0,4
26.92,21,3,0,51.05,1,5,1,2
23.87,20,0,0,33.48,2,1,0,0
5.4,7,3,0,16.62,1,4,0,3
10.04,14,3,0,14.17,1,2,1,1
8.21,12,3,0,22.11,1,3,0,3
22.57,9,0,0,96.67,0,5,0,1
1.97,9,5,0,4.93,1,5,0,0
17.53,18,3,0,59.65,1,5,0,2
23.11,6,5,0,31.5,2,1,0,0
26.43,8,6,1,62.69,1,1,0,3
10.92,21,6,0,16.94,1,1,0,1
24.82,9,1,0,72.72,1,3,0,1
4.21,21,4,0,11.79,2,2,0,3
25.55,6,5,0,64.71,1,5,0,3
4.7,10,6,0,9.38,2,4,0,0
12.52,16,4,0,34.43,1,5,0,4
24.12,18,3,0,85.07,0,5,0,1
5.35,10,4,0,22.68,1,5,0,3
7.65,9,4,0,22.45,1,5,0,0
21.95,9,3,0,69.55,2,2,0,4
21.88,9,5,1,73.97,1,4,0,2
19.59,9,3,0,60.61,1,1,0,3
21.12,21,1,0,43.3,0,4,1,4
16.74,14,2,0,31.69,1,5,1,2
8.3,7,0,1,21.98,2,4,0,2
11.03,9,3,0,34.81,1,5,1,0
6.27,17,3,0,20.29,0,4,0,1
27.35,12,4,1,65.43,1,3,1,3
17.92,20,1,0,41.43,1,4,0,4
12.62,12,6,0,19.63,2,1,0,2
14.4,22,6,0,22.19,2,1,0,1
28.47,21,4,0,55.33,0,4,1,2
5.45,14,5,0,15.89,1,4,0,3
18.0,19,3,0,61.45,1,2,0,3
15.67,22,3,0,21.43,2,4,1,0
18.73,10,4,0,61.9,1,1,0,3
1.53,7,3,0,8.97,1,3,0,3
26.29,21,5,0,48.13,1,1,0,3
28.03,19,2,0,73.98,1,2,1,1
17.39,19,0,0,62.94,1,4,1,4
21.2,6,0,0,43.65,0,3,1,4
27.75,8,0,1,88.75,1,1,0,3
21.51,12,2,0,43.94,1,3,0,4
5.42,20,3,1,22.81,1,5,0,3
17.71,7,4,0,35.04,1,1,0,4
18.59,14,6,0,49.36,1,5,0,4
13.3,10,1,0,39.33,2,3,0,2
22.36,21,3,0,54.65,0,4,0,1
28.1,9,2,1,82.28,2,4,1,2
27.84,17,5,1,90.46,1,4,0,2
14.07,12,2,0,40.46,1,5,0,4
4.28,19,6,0,9.88,2,4,0,0
29.56,17,0,0,68.48,2,2,0,0
25.33,8,3,0,96.2,0,1,0,1
4.62,10,6,0,13.54,2,1,0,3
27.7,22,0,0,48.29,1,3,1,4
26.23,15,1,0,52.06,1,5,0,1
16.05,15,5,0,31.58,0,1,0,2
18.15,16,0,0,43.67,1,5,0,4
12.57,22,1,0,27.58,1,3,0,2
2.59,10,2,0,10.99,1,4,0,1
10.72,18,0,1,34.49,1,3,1,0
24.28,15,0,0,39.68,1,2,0,1
1.13,14,4,0,9.64,2,4,1,4
10.67,22,5,0,30.78,1,4,0,4
12.55,6,5,0,29.62,1,4,0,3
16.58,9,6,0,33.71,2,3,0,0
27.68,9,2,1,104.82,0,2,0,4
11.04,14,4,1,32.38,1,5,0,0
11.06,19,6,0,32.81,1,3,0,4
22.39,20,1,0,32.52,1,1,0,0
14.11,11,6,0,20.34,2,1,0,1
7.51,15,1,0,10.0,1,3,1,0
14.12,20,2,0,28.73,1,5,1,2
5.08,9,5,0,11.73,1,1,0,1
6.12,22,1,0,19.78,1,5,0,4
15.45,17,2,0,53.8,1,4,1,4
13.15,12,6,0,28.05,1,3,0,3
27.53,21,1,0,57.2,2,4,0,2
11.51,16,3,0,21.7,2,1,0,3
17.84,19,0,0,64.39,1,5,0,1
19.34,8,6,0,56.22,0,4,0,3
1.38,15,5,0,4.0,2,1,0,1
20.24,11,6,0,37.45,0,2,1,3
6.16,18,3,1,20.88,2,4,0,0
28.87,15,2,0,31.21,2,2,1,1
5.31,21,2,0,9.8,2,2,0,1
13.02,11,6,0,20.28,1,1,0,0
3.48,18,3,0,9.7,1,3,0,0
29.91,9,6,0,61.06,1,5,1,2
15.56,19,0,0,43.76,2,1,0,0
18.27,6,0,1,48.21,1,4,0,3
2.95,10,4,0,8.85,2,5,0,0
22.75,13,1,0,43.49,1,3,0,0
7.09,17,4,0,18.37,1,1,0,1
27.04,7,0,0,46.04,2,3,0,1
6.95,17,3,0,17.88,1,4,1,0
6.53,10,1,0,19.12,1,1,0,2
2.06,10,3,1,10.03,0,4,0,1
14.69,18,4,0,43.96,1,5,1,3
17.38,14,2,0,45.94,1,5,0,3
2.91,15,3,0,4.08,1,3,1,0
23.49,6,4,0,41.54,1,3,0,0
14.15,8,4,0,37.47,2,5,1,2
16.21,17,4,0,43.54,2,2,0,0
13.78,8,2,1,57.42,1,5,0,4
12.62,14,2,0,25.18,1,1,0,4
17.23,7,6,0,30.67,1,4,0,0
5.5,8,2,1,25.91,2,5,0,4
6.28,19,1,1,27.3,1,5,0,3
25.99,9,2,0,72.75,2,4,0,0
28.44,18,2,1,135.8,0,4,1,3
11.83,12,2,0,21.89,2,1,0,3
8.85,17,3,0,34.08,1,4,0,4
19.68,8,2,0,74.8,2,3,0,2
12.85,14,1,1,41.67,1,5,0,3
1.74,7,4,0,11.32,1,4,0,4
5.53,14,3,0,11.63,1,1,0,2
21.76,17,0,0,81.7,2,4,0,4
20.11,17,2,0,73.03,1,5,0,4
1.79,20,6,0,3.12,1,2,0,0
7.44,7,6,0,15.59,1,4,0,1
7.7,18,4,1,35.52,1,3,0,2
20.48,19,4,0,77.1,1,5,0,4
1.57,10,3,0,10.42,2,1,0,3
4.02,15,6,0,14.58,1,5,0,3
24.2,17,0,1,76.49,1,2,0,1
6.18,15,5,0,13.53,1,1,0,2
19.93,16,6,0,30.24,2,2,0,0
7.91,7,6,1,22.25,2,2,0,2
3.88,10,1,0,19.28,1,3,0,3
8.05,12,5,0,21.82,1,4,0,3
21.95,11,4,0,42.61,1,3,0,0
25.82,8,5,1,74.49,1,3,0,0
25.08,18,6,0,64.14,1,3,0,3
12.52,8,4,0,37.27,1,1,0,4
20.37,11,5,1,56.98,1,4,0,4
6.94,16,4,0,13.46,1,4,0,0
9.5,22,4,0,21.46,1,1,0,4
26.99,15,3,0,44.68,2,3,0,0
1.38,17,0,0,8.77,1,3,0,2
3.48,22,4,0,7.93,1,2,1,2
7.03,9,1,0,21.77,2,2,0,2
1.77,7,6,1,4.53,1,5,0,0
6.26,16,6,0,8.09,1,2,1,0
17.91,12,1,0,37.91,2,4,0,4
13.22,7,2,0,27.61,1,1,0,4
26.89,9,4,0,78.8,1,3,0,4
24.71,13,4,0,49.69,1,5,0,1
10.91,19,4,1,41.27,1,2,1,0
8.52,17,5,0,21.63,1,5,1,2
12.01,16,4,1,21.99,2,1,1,2
18.12,13,4,0,20.73,1,1,1,1
8.77,7,1,0,19.97,2,5,0,1
19.1,20,0,0,39.22,2,5,0,2
12.87,14,0,0,28.83,1,5,0,0
17.01,13,2,0,35.03,1,3,0,2
13.65,10,1,0,39.04,2,4,0,2
9.54,16,4,0,19.9,0,2,0,1
28.51,20,0,0,40.97,0,2,1,1
23.14,13,3,0,45.79,1,2,0,4
5.06,13,3,0,12.23,1,5,0,1
26.19,15,3,0,55.74,1,5,0,2
15.14,12,4,0,38.83,1,5,0,4
26.94,14,4,0,49.39,1,3,0,2
24.2,6,2,0,48.78,0,3,0,0
13.33,10,6,0,24.26,1,3,0,0
1.65,6,2,0,4.95,2,3,0,1
8.79,20,2,0,22.25,1,1,0,4
16.71,21,5,0,38.05,1,3,0,3
19.37,12,3,1,53.73,0,3,0,0
8.48,17,4,0,24.46,1,3,0,0
5.04,13,3,0,6.53,1,2,1,0
25.21,10,2,0,74.8,2,2,1,0
29.55,15,4,0,48.14,1,2,0,1
16.25,10,1,0,48.17,2,4,1,4
5.98,22,0,1,12.07,2,1,0,0
8.9,10,0,0,24.46,1,5,1,1
1.53,20,2,0,10.49,1,3,0,4
27.51,18,6,0,62.82,2,2,0,4
4.41,6,3,0,12.6,1,1,0,3
17.72,16,1,1,50.53,0,3,0,2
8.95,6,4,0,17.8,1,4,0,0
17.07,16,6,0,40.01,1,5,0,1
19.89,21,3,0,40.51,2,3,0,4
25.06,18,2,0,77.24,1,5,0,3
6.99,12,3,0,16.45,2,3,0,2
1.32,6,2,1,11.46,1,4,0,4
4.97,21,5,0,14.4,2,1,0,4
27.1,6,0,0,59.42,1,5,0,0
26.34,22,6,0,54.65,1,5,0,2
18.32,11,0,0,27.29,2,1,0,2
18.41,7,3,0,37.25,2,5,0,1
20.29,22,1,0,39.57,1,2,0,3
6.09,11,4,0,10.86,1,1,0,1
27.52,19,2,0,93.7,1,4,0,3
13.14,11,4,1,33.69,2,3,0,1
12.11,15,0,0,28.69,1,3,0,3
16.05,14,1,0,21.37,2,1,0,0
2.36,13,1,0,10.19,1,2,0,3
5.82,15,4,0,13.09,1,4,0,1
22.4,22,0,0,39.55,2,3,0,2
3.4,11,4,1,16.52,1,3,0,4
18.49,19,3,0,63.66,1,2,0,3
8.12,11,1,0,22.1,2,5,0,3
12.29,12,1,0,21.87,2,1,0,2
9.37,17,3,0,22.04,1,2,1,0
11.31,8,0,0,40.23,2,2,0,1
21.85,19,1,1,65.36,1,2,0,0
9.62,21,6,0,19.11,2,2,0,3
17.43,12,5,0,39.38,2,5,0,3
14.81,13,5,0,31.62,1,4,0,0
20.25,18,5,0,37.29,1,2,0,1
28.17,14,2,0,54.12,1,2,0,3
22.24,15,6,1,52.63,1,1,0,3
7.23,14,2,0,12.24,1,3,0,0
1.9,20,0,1,13.04,1,5,0,4
8.61,7,3,0,18.65,1,2,0,2
18.26,18,4,0,68.98,2,4,0,3
2.49,7,6,0,6.81,1,4,0,1
15.39,7,0,0,40.27,1,4,0,4
18.31,8,4,1,65.2,1,1,0,0
10.69,11,0,0,19.44,2,4,0,0
23.36,8,2,0,58.72,1,1,0,1
4.09,15,5,0,16.1,2,5,0,4
3.18,11,3,0,9.57,0,4,0,1
22.12,21,2,0,36.19,1,3,1,3
15.37,22,3,0,25.63,1,2,1,4
20.96,8,6,0,50.27,1,5,0,2
13.61,12,4,0,30.85,1,3,0,2
8.15,14,0,0,18.76,1,5,0,1
24.75,17,1,0,77.85,1,4,0,2
24.18,10,1,1,83.39,2,5,0,1
21.15,8,3,0,89.88,1,5,0,3
8.89,16,5,1,34.47,1,5,0,3
18.12,9,5,0,27.3,2,1,0,1
11.47,10,3,0,37.13,1,3,0,3
3.66,6,2,0,11.21,1,4,0,2
27.6,17,1,0,85.46,2,2,0,3
4.97,18,2,1,20.64,2,4,0,2
28.56,14,4,0,63.03,1,4,0,2
13.93,7,1,0,22.67,1,1,0,0
6.37,10,4,0,23.73,1,1,0,3
16.72,18,0,0,57.87,2,5,0,3
26.32,21,2,0,45.27,2,4,0,1
22.23,21,3,0,39.99,1,3,0,1
24.39,8,1,0,68.58,2,1,0,4
20.1,9,2,0,62.9,1,1,1,2
21.08,16,3,0,34.78,1,3,0,0
25.63,19,0,0,66.58,2,1,0,2
8.24,8,1,0,33.13,1,3,0,3
15.19,21,4,0,26.29,1,2,1,4
7.42,20,0,0,17.19,2,3,0,2
29.64,15,5,0,55.78,1,2,0,4
28.38,14,3,0,58.61,1,5,0,2
2.14,16,1,0,10.59,2,5,0,3
21.46,21,1,0,33.12,2,1,0,3
27.83,15,6,0,45.78,2,3,0,2
6.24,22,6,0,9.19,1,1,0,0
17.47,7,0,1,50.12,1,3,0,3
27.55,7,1,1,64.25,1,1,0,1
1.98,11,3,0,3.9,1,5,0,0
21.23,13,0,0,42.4,2,5,0,2
9.62,8,4,1,32.34,2,1,0,0
27.81,19,0,0,90.45,0,3,0,1
29.16,21,0,0,66.41,1,4,0,3
28.38,6,4,0,56.67,2,3,0,3
14.75,8,5,0,24.96,2,1,1,3
26.0,14,6,0,44.64,1,3,0,1
25.49,11,3,1,50.89,1,2,0,0
10.25,6,5,0,21.62,1,3,0,2
25.04,15,5,0,43.51,2,5,1,2
2.07,11,5,0,4.3,1,5,0,0
18.29,17,6,0,41.71,1,2,0,3
7.67,9,2,0,31.32,1,3,0,2
4.5,18,6,0,15.28,1,4,0,3
3.23,22,5,0,12.26,1,3,1,4
21.19,13,2,1,57.05,2,5,1,4
10.86,8,4,0,42.92,2,5,0,2
22.02,17,6,0,33.31,2,1,0,0
2.9,12,3,0,5.3,2,5,0,0
10.14,17,5,0,18.01,1,1,0,0
16.65,7,1,0,40.53,1,5,0,3
23.93,19,4,1,80.53,2,5,1,4
10.24,10,2,1,44.2,1,4,0,3
19.15,14,6,0,31.09,1,1,0,1
26.69,16,3,0,45.75,1,1,0,1
18.86,10,0,0,53.8,1,5,1,2
7.76,8,3,0,22.12,1,1,0,1
1.71,22,3,0,3.7,1,5,0,0
26.23,7,5,1,73.01,1,5,0,2
1.62,6,5,0,10.98,1,3,0,4
26.37,12,6,0,43.4,2,1,0,4
16.34,19,6,0,28.4,1,2,1,1
28.23,10,2,0,77.85,1,1,0,1
24.16,16,6,0,41.08,1,1,0,4
29.94,7,2,0,55.83,2,4,0,1
11.17,13,5,0,19.48,1,2,0,1
23.25,14,5,0,40.93,1,2,0,3
12.66,8,1,0,41.64,2,4,0,4
14.92,7,1,0,30.73,1,4,1,4
19.2,12,4,0,30.82,1,1,0,1
26.34,10,5,1,70.77,1,3,0,0
29.54,10,0,0,117.09,1,4,0,3
23.28,18,1,0,74.79,2,2,0,0
13.12,11,2,0,28.48,0,2,0,1
13.22,7,3,0,27.96,1,1,0,4
22.39,11,6,0,39.78,1,3,0,0
7.92,14,6,0,20.98,1,5,0,2
4.2,8,4,0,11.88,0,4,1,0
11.28,6,1,0,29.15,0,4,1,4
9.33,6,3,0,17.04,1,1,0,1
9.59,10,3,0,28.5,1,3,0,0
7.77,18,1,0,22.2,2,2,0,1
2.22,17,0,0,12.29,1,2,1,3
1.52,21,0,0,7.09,1,5,0,2
29.64,8,4,0,99.27,1,2,0,4
13.41,17,0,0,55.86,2,4,0,4
12.15,10,4,0,50.8,1,5,0,1
20.71,7,2,1,50.84,1,3,0,2
7.33,12,1,1,29.15,1,5,0,4
28.55,18,3,0,87.48,1,3,0,0
23.8,20,4,0,48.89,1,2,0,4
3.59,8,6,0,7.12,0,1,0,0
13.11,10,0,0,54.23,0,5,0,4
26.49,13,6,0,54.78,2,5,0,0
28.4,6,4,0,64.14,0,4,0,3
14.55,13,5,0,28.37,1,4,0,1
18.79,21,4,0,29.36,1,3,1,3
5.84,17,0,0,13.82,1,1,0,0
29.74,18,5,0,72.37,1,4,0,1
7.72,18,5,0,22.42,0,4,0,2
28.34,15,0,0,45.45,1,2,0,0
19.84,12,5,0,40.42,1,2,0,4
18.62,19,1,0,59.84,1,4,1,4
15.87,21,3,0,29.34,2,3,0,2
7.69,20,6,0,20.29,0,1,0,3
6.12,17,1,0,17.39,2,4,0,0
7.39,14,1,0,21.22,2,3,0,4
6.41,13,0,0,11.89,0,3,1,1
23.61,18,0,0,81.78,2,4,0,2
11.15,20,6,0,25.06,1,3,0,3
2.68,9,3,0,13.68,1,5,0,3
29.1,22,4,0,51.49,1,3,0,1
26.63,10,1,0,95.77,1,4,0,1
27.9,21,5,0,54.34,1,3,0,2
29.85,14,3,1,84.98,1,4,0,1
6.04,15,1,0,17.65,2,2,0,4
12.49,22,4,0,31.27,1,4,0,3
22.99,12,5,0,47.32,1,3,0,1
21.18,9,1,0,58.4,2,4,0,0
5.46,10,2,0,16.67,2,1,0,1
24.66,21,6,0,47.13,2,4,0,3
7.51,8,3,0,33.13,2,4,0,4
7.49,19,6,0,17.05,1,1,0,1
16.57,20,0,0,25.96,1,1,1,4
18.2,22,1,1,37.38,1,1,1,0
17.82,6,5,0,39.95,2,5,0,3
3.65,22,5,0,11.73,1,4,0,2
26.45,16,3,1,60.96,1,1,0,3
8.7,22,3,1,18.34,1,1,1,2
4.76,19,6,0,14.02,1,2,0,2
26.77,12,5,0,61.75,1,5,0,3
28.71,18,5,0,71.13,1,4,0,2
26.0,19,5,0,64.22,0,3,0,4
24.48,6,1,1,67.34,1,5,0,0
20.0,12,5,0,32.55,2,5,1,1
16.97,13,0,0,28.11,2,2,0,2
3.52,14,5,1,13.91,1,4,0,2
12.85,6,0,0,31.14,2,4,0,3
11.81,22,1,0,25.1,2,1,0,4
8.53,11,3,1,22.67,0,1,0,1
21.98,8,0,0,77.32,2,5,0,2
15.38,10,1,0,43.21,2,2,0,4
3.35,7,5,0,8.43,1,4,0,1
7.39,9,1,0,27.22,0,2,0,3
20.81,15,5,0,40.12,1,3,0,2
3.21,15,6,0,12.26,2,4,0,3
25.69,16,1,1,59.71,1,1,0,3
15.36,21,3,0,36.18,1,5,0,2
14.94,22,0,0,34.43,1,2,0,4
18.18,21,6,0,36.11,1,1,0,4
24.92,12,3,0,54.75,1,5,0,3
11.09,21,2,0,21.44,1,1,0,3
20.66,8,5,0,39.78,2,4,0,0
17.41,21,0,0,27.55,2,2,0,1
8.74,13,3,0,21.42,1,3,0,3
26.48,17,0,1,72.29,1,1,1,3
24.13,8,2,0,63.76,1,2,0,1
20.1,22,4,0,43.48,2,4,0,2
25.67,16,5,0,44.88,1,1,0,4
26.15,9,5,1,86.58,1,4,0,2
21.54,21,1,0,40.33,2,3,0,1
25.27,22,5,0,42.54,2,3,0,1
21.23,14,5,0,44.43,1,5,0,0
20.72,11,3,0,47.27,1,5,0,0
18.94,7,6,0,47.45,1,5,0,4
22.83,14,5,0,48.51,2,4,0,3
5.6,11,5,0,15.99,0,5,0,1
26.55,8,2,1,106.98,1,2,0,0
26.28,11,6,0,52.66,1,4,0,2
1.85,12,2,0,3.3,1,4,0,0
24.95,6,0,0,60.13,1,5,0,2
4.74,6,0,0,9.54,1,5,0,0
10.72,10,5,0,28.32,1,4,0,2
22.56,11,5,0,40.69,1,3,0,0
5.66,18,1,0,19.63,1,3,0,0
24.72,7,0,0,57.98,1,5,0,4
25.13,20,3,0,37.42,1,3,1,3
15.72,20,5,0,27.61,1,2,0,1
1.19,18,3,0,8.94,1,2,0,3
9.32,19,5,0,19.5,2,2,1,4
18.89,12,3,0,41.06,1,4,0,2
29.45,19,4,0,115.36,2,4,0,3
19.32,15,3,0,31.14,1,4,1,1
8.53,22,6,1,27.0,0,4,0,1
19.39,19,0,1,85.21,2,4,0,2
16.66,13,5,1,56.8,0,5,0,1
23.62,9,0,0,71.25,2,3,0,4
4.1,21,6,0,14.57,1,5,0,3
23.07,18,6,0,49.14,1,3,0,1
16.7,19,3,0,56.71,0,5,1,3
28.93,10,2,0,90.43,2,2,0,0
10.91,14,2,1,24.83,2,1,0,3
19.35,8,6,0,48.09,1,4,0,2
28.03,13,2,0,52.74,1,1,0,4
3.97,15,5,0,8.54,0,1,0,1
28.18,8,1,1,103.63,2,2,0,4
20.95,16,4,0,36.21,1,1,0,3
2.97,16,3,0,6.84,1,1,0,1
9.73,22,1,1,33.97,0,2,0,4
21.54,21,2,0,40.93,2,3,0,2
2.95,12,3,0,5.73,1,5,0,0
17.88,9,1,0,52.1,2,1,0,0
11.03,17,0,0,39.5,2,4,0,2
19.01,20,2,0,36.07,0,2,0,0
2.33,16,1,0,7.69,1,1,0,2
26.27,10,5,1,76.37,1,3,1,3
29.23,10,0,0,89.82,1,3,0,2
29.1,20,2,0,51.53,1,4,0,0
22.74,16,4,0,38.28,2,1,0,3
4.77,17,6,0,13.58,2,4,0,2
22.99,7,2,0,43.41,2,3,0,2
1.71,20,5,0,8.97,2,3,0,3
1.64,9,4,0,7.94,1,5,0,1
10.38,11,4,0,17.66,1,3,0,0
15.17,16,4,0,34.52,0,2,0,1
23.34,7,3,0,42.26,1,5,1,3
20.82,13,3,0,47.93,1,4,0,3
13.93,16,6,0,35.35,1,3,0,4
8.94,10,4,0,36.19,2,2,0,4
29.92,19,6,0,74.95,2,5,0,3
13.36,15,0,0,27.42,2,2,0,4
14.09,8,4,0,48.86,1,5,0,2
5.75,14,1,1,16.33,2,5,0,1
24.05,8,4,0,86.79,1,5,0,3
21.12,16,3,0,42.18,1,4,0,2
7.4,17,3,0,27.1,1,5,0,0
3.39,17,1,0,11.06,1,5,0,0
20.73,8,1,0,53.14,2,2,0,4
19.98,12,2,0,46.72,1,5,0,4
8.92,19,0,0,30.86,1,4,0,2
28.58,16,0,0,50.67,0,2,0,0
5.38,12,0,0,15.52,2,5,0,3
13.54,15,5,0,16.72,1,2,1,1
28.36,16,3,1,81.25,2,4,0,4
13.17,20,0,1,34.9,1,2,0,2
19.52,21,2,0,46.47,1,4,0,4
12.53,17,2,0,38.22,1,3,0,2
8.95,18,0,0,24.28,1,5,1,0
29.54,10,1,0,105.5,1,4,0,4
12.87,9,2,1,49.99,2,5,0,2
26.93,19,6,0,62.87,2,4,0,2
7.67,13,1,0,15.29,1,1,1,4
7.18,14,6,0,14.15,0,1,0,1
1.9,8,3,0,10.81,1,1,0,3
19.9,10,5,0,42.88,2,4,0,0
11.69,6,2,0,25.52,1,5,1,4
26.07,13,1,0,43.95,2,1,0,4
14.72,22,6,0,23.28,2,5,1,1
29.08,22,0,0,40.89,1,4,1,0
6.38,16,6,0,22.25,1,5,0,4
26.19,7,6,0,52.17,2,5,0,1
23.52,11,3,0,41.79,1,1,0,3
23.36,19,4,0,64.18,1,2,0,2
25.5,8,4,1,102.93,1,3,0,3
23.07,17,0,1,88.09,1,4,0,3
19.16,9,3,1,75.62,1,4,0,3
4.81,17,3,0,17.82,1,4,1,3
1.94,18,3,1,9.8,1,3,0,2
27.7,7,3,0,39.01,2,2,0,0
18.88,7,4,1,50.39,1,5,0,0
24.1,20,1,0,46.16,1,4,0,1
14.96,22,3,1,39.29,1,5,0,1
4.4,12,1,0,14.23,2,1,0,4
4.63,19,6,0,15.09,1,1,0,3
20.88,17,6,0,39.26,1,1,0,3
13.48,22,3,0,29.13,1,4,0,2
6.82,19,2,0,25.02,1,3,0,3
15.26,11,5,0,33.42,1,4,0,2
2.86,11,2,0,11.85,0,1,1,4
17.88,10,6,0,40.37,0,1,0,1
8.8,11,5,0,18.45,2,4,0,1
24.13,7,2,0,50.84,1,3,0,4
10.0,13,3,0,25.75,2,3,0,4
14.2,20,1,0,38.24,1,5,0,3
